Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 3, reg_load: 7, load_value: 59 } 233
Instruction { opcode: 2, reg_a: 6, reg_b: 7, reg_c: 1, reg_load: 0, load_value: 441 } 252
Instruction { opcode: 13, reg_a: 4, reg_b: 0, reg_c: 0, reg_load: 0, load_value: 256 } 253
Instruction { opcode: 13, reg_a: 5, reg_b: 6, reg_c: 3, reg_load: 7, load_value: 371 } 254
Instruction { opcode: 12, reg_a: 0, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 55 } 255
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 1, reg_load: 7, load_value: 57 } 371
Instruction { opcode: 1, reg_a: 4, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 311 } 372
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 4, reg_load: 1, load_value: 4 } 373
Instruction { opcode: 5, reg_a: 1, reg_b: 4, reg_c: 1, reg_load: 0, load_value: 97 } 374
Instruction { opcode: 13, reg_a: 0, reg_b: 0, reg_c: 1, reg_load: 3, load_value: 1 } 375
Instruction { opcode: 3, reg_a: 4, reg_b: 4, reg_c: 3, reg_load: 0, load_value: 291 } 376
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 1, reg_load: 7, load_value: 57 } 377
Instruction { opcode: 2, reg_a: 6, reg_b: 7, reg_c: 4, reg_load: 0, load_value: 444 } 378
Instruction { opcode: 13, reg_a: 0, reg_b: 5, reg_c: 4, reg_load: 7, load_value: 44 } 379
Instruction { opcode: 1, reg_a: 4, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 311 } 380
Instruction { opcode: 1, reg_a: 2, reg_b: 4, reg_c: 1, reg_load: 0, load_value: 161 } 381
Instruction { opcode: 13, reg_a: 4, reg_b: 0, reg_c: 0, reg_load: 3, load_value: 256 } 382
Instruction { opcode: 4, reg_a: 2, reg_b: 2, reg_c: 3, reg_load: 0, load_value: 147 } 383
Instruction { opcode: 13, reg_a: 0, reg_b: 7, reg_c: 0, reg_load: 7, load_value: 56 } 384
Instruction { opcode: 1, reg_a: 3, reg_b: 6, reg_c: 7, reg_load: 0, load_value: 247 } 385
Instruction { opcode: 3, reg_a: 2, reg_b: 2, reg_c: 3, reg_load: 0, load_value: 147 } 386
Instruction { opcode: 2, reg_a: 4, reg_b: 1, reg_c: 2, reg_load: 0, load_value: 266 } 387
Instruction { opcode: 12, reg_a: 0, reg_b: 6, reg_c: 0, reg_load: 0, load_value: 48 } 388
Instruction { opcode: 13, reg_a: 3, reg_b: 5, reg_c: 1, reg_load: 0, load_value: 233 } 256
Instruction { opcode: 12, reg_a: 0, reg_b: 6, reg_c: 0, reg_load: 0, load_value: 48 } 257
